Number,Ticker,Weight,Group,Group Min,Group Max,Group Type,Start Time,End Time,Period,Ind Min,Ind Max,Risk Aversion,Directory
1,EMB,,FIXED,0.2,0.8,sum,2016-1-1,2019-11-1,day,0.01,0.25,2,C:\Users\benka\Documents\GitHub\REBAL
2,MUB,,FIXED,0.2,0.8,sum,,,,,,,
3,TLT,,FIXED,0.2,0.8,sum,,,,,,,
4,IAU,,FIXED,0.2,0.8,sum,,,,,,,
5,SHY,,FIXED,0.2,0.8,sum,,,,,,,
6,LVMUY,,EQU,0.2,0.8,sum,,,,,,,
7,CELH,,EQU,0.2,0.8,sum,,,,,,,
8,CL,,EQU,0.2,0.8,sum,,,,,,,
9,LAKE,,EQU,0.2,0.8,sum,,,,,,,
10,LUV,,EQU,0.2,0.8,sum,,,,,,,
11,SYY,,EQU,0.2,0.8,sum,,,,,,,
12,VZ,,EQU,0.2,0.8,sum,,,,,,,
13,DIS,,EQU,0.2,0.8,sum,,,,,,,
14,BLK,,EQU,0.2,0.8,sum,,,,,,,
15,PYPL,,EQU,0.2,0.8,sum,,,,,,,
16,FMS,,EQU,0.2,0.8,sum,,,,,,,
17,GSK,,EQU,0.2,0.8,sum,,,,,,,
18,BAX,,EQU,0.2,0.8,sum,,,,,,,
19,BMY,,EQU,0.2,0.8,sum,,,,,,,
20,MRK,,EQU,0.2,0.8,sum,,,,,,,
21,BA,,EQU,0.2,0.8,sum,,,,,,,
22,XOM,,EQU,0.2,0.8,sum,,,,,,,
23,GD,,EQU,0.2,0.8,sum,,,,,,,
24,LMT,,EQU,0.2,0.8,sum,,,,,,,
25,MDR,,EQU,0.2,0.8,sum,,,,,,,
26,NOC,,EQU,0.2,0.8,sum,,,,,,,
27,PXD,,EQU,0.2,0.8,sum,,,,,,,
28,RTN,,EQU,0.2,0.8,sum,,,,,,,
29,UTX,,EQU,0.2,0.8,sum,,,,,,,
30,NLY,,EQU,0.2,0.8,sum,,,,,,,
31,ATVI,,EQU,0.2,0.8,sum,,,,,,,
32,AMZN,,EQU,0.2,0.8,sum,,,,,,,
33,MU,,EQU,0.2,0.8,sum,,,,,,,
34,PANW,,EQU,0.2,0.8,sum,,,,,,,
35,SNAP,,EQU,0.2,0.8,sum,,,,,,,
36,WDC,,EQU,0.2,0.8,sum,,,,,,,
37,NGG,,EQU,0.2,0.8,sum,,,,,,,
38,RDS-A,,EQU,0.2,0.8,sum,,,,,,,
39,TSLA,0.01,-,-,-,-,,,,,,,
